CustomerNo,Recency,Frequency,Monetary,Cluster
13224,61,2,16650.02,cluster_1
13225,4,8,31305.92,cluster_1
13226,274,1,930.9,cluster_3
13227,202,1,972.84,cluster_3
13228,82,1,1208.0,cluster_1
13229,226,1,810.66,cluster_3
13230,5,14,17987.43,cluster_0
13232,13,8,17678.91,cluster_1
13233,75,3,16436.06,cluster_1
13235,213,1,5204.71,cluster_3
13236,25,2,5026.91,cluster_1
13237,184,1,7817.68,cluster_3
13238,18,5,4491.99,cluster_1
13239,262,1,4058.5,cluster_3
13240,97,4,3694.87,cluster_1
13242,113,3,804.7,cluster_1
13243,204,1,2915.42,cluster_3
13244,93,1,514.23,cluster_1
13245,51,1,1722.41,cluster_1
13246,19,6,17847.61,cluster_1
13247,18,4,3792.29,cluster_1
13248,125,2,3541.56,cluster_1
13249,93,3,6327.38,cluster_1
13252,318,1,1402.33,cluster_3
13253,157,2,17170.12,cluster_3
13255,10,2,1773.47,cluster_1
13256,15,1,77622.6,cluster_1
13258,12,4,8999.99,cluster_1
13259,62,1,1581.63,cluster_1
13260,62,1,2026.96,cluster_1
13261,269,2,3120.14,cluster_3
13262,264,1,1486.55,cluster_3
13263,2,34,51951.15,cluster_0
13264,129,1,5078.23,cluster_1
13265,54,5,19981.21,cluster_1
13266,12,12,46730.21,cluster_0
13267,3,19,22997.09,cluster_0
13268,18,10,37216.28,cluster_1
13269,2,15,37025.9,cluster_0
13270,367,1,2654.0,cluster_3
13271,38,1,2676.74,cluster_1
13272,32,2,1267.48,cluster_1
13273,114,1,1710.81,cluster_1
13275,192,1,6429.13,cluster_3
13276,64,2,2255.86,cluster_1
13277,16,4,1381.84,cluster_1
13278,41,1,5549.74,cluster_1
13279,79,1,889.36,cluster_1
13280,123,3,5345.2,cluster_1
13282,19,3,4125.26,cluster_1
13283,60,2,894.52,cluster_1
13284,331,1,980.8,cluster_3
13285,24,4,21062.03,cluster_1
13291,156,1,2579.19,cluster_3
13292,39,3,4769.99,cluster_1
13294,145,3,5591.56,cluster_1
13295,360,1,1046.54,cluster_3
13296,138,1,889.08,cluster_1
13297,8,5,10774.78,cluster_1
13298,2,1,594.24,cluster_1
13299,269,1,453.48,cluster_3
13300,170,1,2218.64,cluster_3
13301,104,4,4130.51,cluster_1
13302,156,1,116.6,cluster_3
13304,156,2,2735.76,cluster_3
13305,5,10,13825.79,cluster_1
13307,121,1,56.36,cluster_1
13308,23,3,10061.61,cluster_1
13309,8,5,14579.47,cluster_1
13310,29,3,7176.29,cluster_1
13311,5,3,3519.03,cluster_1
13313,23,5,8535.44,cluster_1
13314,2,3,5576.62,cluster_1
13316,38,4,62319.39,cluster_1
13317,67,6,12504.64,cluster_1
13318,2,3,2903.18,cluster_1
13319,6,26,55079.03,cluster_0
13320,79,4,11447.55,cluster_1
13321,73,2,4395.12,cluster_1
13322,18,2,2023.58,cluster_1
13323,4,5,1764.15,cluster_1
13324,37,10,60652.69,cluster_1
13325,82,2,3105.25,cluster_1
13327,39,8,16047.16,cluster_1
13328,317,1,8071.76,cluster_3
13329,32,2,5553.78,cluster_1
13330,93,3,7116.13,cluster_1
13332,15,1,1274.24,cluster_1
13334,83,3,20566.2,cluster_1
13336,78,1,6305.32,cluster_1
13337,358,1,3977.2,cluster_3
13338,156,2,13274.69,cluster_3
13339,201,1,4222.77,cluster_3
13340,46,7,66186.45,cluster_1
13341,261,1,3760.96,cluster_3
13343,178,1,1500.91,cluster_3
13344,68,4,17184.079999999998,cluster_1
13345,288,2,5394.37,cluster_3
13347,71,1,2389.56,cluster_1
13348,65,1,1633.34,cluster_1
13349,11,1,1381.16,cluster_1
13350,17,2,2992.74,cluster_1
13351,67,1,1459.01,cluster_1
13352,61,2,13346.67,cluster_1
13354,72,1,6952.64,cluster_1
13355,123,1,3122.68,cluster_1
13356,81,1,3812.37,cluster_1
13357,258,1,3914.77,cluster_3
13358,269,1,3260.59,cluster_3
13359,64,1,2039.09,cluster_1
13362,10,4,15072.1,cluster_1
13363,18,2,8171.7,cluster_1
13364,72,1,848.16,cluster_1
13365,34,3,14864.41,cluster_1
13366,51,1,1533.6,cluster_1
13367,8,1,11964.89,cluster_1
13368,257,3,5573.13,cluster_3
13369,366,1,1781.6,cluster_3
13370,372,1,4289.27,cluster_3
13371,165,1,11074.7,cluster_3
13372,90,1,1956.3,cluster_1
13373,61,3,20133.09,cluster_1
13375,89,1,5147.32,cluster_1
13376,100,3,5312.27,cluster_1
13378,99,1,7752.33,cluster_1
13379,27,3,6514.099999999999,cluster_1
13381,32,6,24527.7,cluster_1
13382,281,1,1571.11,cluster_3
13384,31,7,26053.42,cluster_1
13385,330,1,3427.87,cluster_3
13388,132,3,9160.07,cluster_1
13389,12,3,4538.74,cluster_1
13390,75,1,2853.4,cluster_1
13391,204,1,102.28,cluster_3
13394,2,8,26096.45,cluster_1
13395,186,1,3759.12,cluster_3
13396,30,3,12485.63,cluster_1
13397,73,6,11795.12,cluster_1
13398,193,1,3349.07,cluster_3
13399,305,1,3677.87,cluster_3
13402,128,2,5545.88,cluster_1
13403,18,1,269.72,cluster_1
13404,2,2,1324.76,cluster_1
13405,205,2,2241.89,cluster_3
13408,2,62,175237.05,cluster_0
13410,25,5,6337.44,cluster_1
13411,108,2,1007.69,cluster_1
13414,134,3,17512.93,cluster_1
13416,44,2,2185.9,cluster_1
13417,5,2,1553.02,cluster_1
13418,12,19,44917.55,cluster_0
13419,64,1,2921.36,cluster_1
13420,150,2,1199.12,cluster_3
13421,41,2,12617.1,cluster_1
13422,65,1,15547.24,cluster_1
13423,327,1,15478.34,cluster_3
13425,109,4,12496.18,cluster_1
13426,1,10,25893.59,cluster_1
13427,20,4,6234.22,cluster_1
13428,11,1,955.22,cluster_1
13429,11,4,13791.64,cluster_1
13430,19,2,8393.26,cluster_1
13431,68,3,7744.66,cluster_1
13433,183,1,3696.44,cluster_3
13434,75,2,3623.04,cluster_1
13435,6,7,24028.86,cluster_1
13436,2,1,516.64,cluster_1
13437,15,8,33736.3,cluster_1
13439,116,2,12406.88,cluster_1
13441,92,2,2405.4,cluster_1
13442,369,1,25.7,cluster_3
13447,24,3,7142.8,cluster_1
13448,17,6,17559.44,cluster_1
13449,24,1,2512.68,cluster_1
13450,27,6,22410.28,cluster_1
13451,27,6,36293.96,cluster_1
13452,260,2,1321.24,cluster_3
13453,166,2,1739.22,cluster_3
13455,25,2,4466.27,cluster_1
13456,18,6,8572.27,cluster_1
13458,8,14,62678.34,cluster_0
13459,183,1,4795.89,cluster_3
13460,30,3,3252.92,cluster_1
13461,39,3,11554.54,cluster_1
13462,253,1,790.7,cluster_3
13464,59,2,10783.94,cluster_1
13466,185,1,2970.18,cluster_3
13467,11,4,11238.59,cluster_1
13468,2,38,36521.54,cluster_0
13470,100,3,7846.519999999999,cluster_1
13471,2,5,22600.13,cluster_1
13472,61,1,65.7,cluster_1
13473,61,2,3159.8,cluster_1
13474,237,1,1520.03,cluster_3
13475,192,4,11800.95,cluster_3
13476,179,2,6521.47,cluster_3
13477,38,6,11831.24,cluster_1
13479,201,2,1681.9,cluster_3
13481,46,5,11898.92,cluster_1
13482,173,2,2005.85,cluster_3
13483,66,1,1783.78,cluster_1
13484,242,1,772.7,cluster_3
13485,234,1,3183.69,cluster_3
13486,79,3,8007.0,cluster_1
13487,58,3,3244.08,cluster_1
13488,18,14,55695.85,cluster_0
13489,20,5,6712.97,cluster_1
13490,155,1,23.02,cluster_3
13491,52,10,10501.9,cluster_1
13492,137,4,4909.45,cluster_1
13493,276,3,10879.85,cluster_3
13494,155,4,4058.79,cluster_3
13495,8,5,9963.32,cluster_1
13496,11,3,10363.97,cluster_1
13497,60,3,2051.13,cluster_1
13499,18,6,17528.56,cluster_1
13500,24,3,7437.54,cluster_1
13501,173,2,7241.07,cluster_3
13502,17,3,2312.3,cluster_1
13503,72,1,2584.17,cluster_1
13504,65,1,2127.65,cluster_1
13505,73,4,29009.28,cluster_1
13506,155,4,15792.12,cluster_3
13507,4,4,16866.39,cluster_1
13508,244,2,1449.14,cluster_3
13509,9,6,11667.43,cluster_1
13510,2,5,19800.96,cluster_1
13512,261,1,1723.29,cluster_3
13513,127,1,1327.34,cluster_1
13514,74,2,6264.92,cluster_1
13515,73,4,7713.76,cluster_1
13516,22,4,13748.7,cluster_1
13517,60,3,16036.08,cluster_1
13518,86,2,5140.06,cluster_1
13519,6,3,6267.450000000001,cluster_1
13520,59,6,19120.26,cluster_1
13521,2,3,4574.24,cluster_1
13522,31,1,579.96,cluster_1
13523,34,5,21771.35,cluster_1
13524,41,5,3966.46,cluster_1
13525,15,2,3574.0600000000004,cluster_1
13527,34,7,19536.53,cluster_1
13529,79,2,1014.1,cluster_1
13531,20,3,10769.03,cluster_1
13532,34,1,1537.67,cluster_1
13533,183,4,4456.52,cluster_3
13534,3,26,25912.69,cluster_0
13535,207,1,5632.43,cluster_3
13536,2,7,21177.01,cluster_1
13538,44,8,3296.2000000000003,cluster_1
13539,80,4,3963.82,cluster_1
13540,40,1,31.27,cluster_1
13543,207,1,1492.03,cluster_3
13544,40,2,1414.51,cluster_1
13546,13,3,3586.38,cluster_1
13548,97,2,5139.2,cluster_1
13549,26,7,5410.69,cluster_1
13551,320,1,168.06,cluster_3
13552,67,12,16082.99,cluster_1
13555,74,4,30432.57,cluster_1
13557,29,2,6195.0,cluster_1
13558,6,4,3568.29,cluster_1
13560,8,1,387.27,cluster_1
13561,216,1,983.93,cluster_3
13562,82,4,8315.33,cluster_1
13563,85,2,2852.23,cluster_1
13564,355,2,7284.24,cluster_3
13565,20,2,2009.16,cluster_1
13566,41,2,6572.0,cluster_1
13567,144,1,10675.93,cluster_3
13568,174,1,868.12,cluster_3
13569,18,3,1893.52,cluster_1
13570,244,1,1895.54,cluster_3
13571,13,12,18688.36,cluster_1
13572,206,1,6891.25,cluster_3
13573,51,2,3392.27,cluster_1
13575,24,5,4815.05,cluster_1
13576,11,18,32250.43,cluster_0
13577,26,4,7924.889999999999,cluster_1
13579,15,2,1444.96,cluster_1
13581,281,2,3557.92,cluster_3
13583,156,1,8109.92,cluster_3
13584,307,1,519.07,cluster_3
13586,243,1,6336.13,cluster_3
13587,64,1,1970.6,cluster_1
13588,16,9,28142.28,cluster_1
13589,15,2,975.82,cluster_1
13590,12,6,17411.9,cluster_1
13591,65,4,5573.74,cluster_1
13592,36,5,8651.08,cluster_1
13593,109,5,9431.21,cluster_1
13594,53,1,3817.27,cluster_1
13596,6,2,2477.9700000000003,cluster_1
13598,48,1,666.01,cluster_1
13599,2,21,33535.91,cluster_0
13600,313,1,3547.16,cluster_3
13601,46,2,6252.87,cluster_1
13602,65,1,2992.88,cluster_1
13603,27,2,6386.03,cluster_1
13604,253,1,205.78,cluster_3
13606,30,3,3112.49,cluster_1
13607,41,1,3638.08,cluster_1
13610,13,7,5760.3,cluster_1
13611,90,3,8911.48,cluster_1
13612,5,1,5521.15,cluster_1
13614,25,4,7391.2,cluster_1
13615,319,1,2316.02,cluster_3
13617,41,3,3632.36,cluster_1
13618,174,1,2702.9,cluster_3
13621,117,1,3734.88,cluster_1
13623,31,5,3664.74,cluster_1
13626,253,1,2406.02,cluster_3
13627,60,5,14686.55,cluster_1
13629,24,11,30492.24,cluster_1
13630,6,7,15566.72,cluster_1
13631,100,11,7933.28,cluster_1
13632,25,5,12463.09,cluster_1
13634,34,5,8482.22,cluster_1
13635,68,1,7967.49,cluster_1
13636,37,6,13019.95,cluster_1
13637,53,3,4571.04,cluster_1
13638,16,1,575.6700000000001,cluster_1
13639,75,1,9258.5,cluster_1
13640,235,1,38.07,cluster_3
13641,368,1,2401.87,cluster_3
13642,216,1,1855.79,cluster_3
13643,32,4,2573.45,cluster_1
13644,17,4,21144.07,cluster_1
13645,121,1,1877.86,cluster_1
13647,10,4,8681.68,cluster_1
13648,270,1,5875.95,cluster_3
13649,257,3,2753.79,cluster_3
13650,17,6,9847.57,cluster_1
13651,40,2,1213.33,cluster_1
13652,46,3,6927.07,cluster_1
13653,199,1,60.14,cluster_3
13654,44,7,25071.95,cluster_1
13655,115,2,6857.96,cluster_1
13656,165,2,5291.66,cluster_3
13657,11,2,1974.52,cluster_1
13658,10,5,10373.48,cluster_1
13659,206,2,10581.94,cluster_3
13660,302,1,4111.8,cluster_3
13662,86,4,7335.469999999999,cluster_1
13663,180,1,1126.96,cluster_3
13666,61,4,16581.05,cluster_1
13667,150,1,1833.67,cluster_3
13668,3,21,42241.67,cluster_0
13669,51,2,2653.04,cluster_1
13670,76,2,4541.82,cluster_1
13672,214,3,1852.25,cluster_3
13673,19,2,1565.46,cluster_1
13674,80,1,22.24,cluster_1
13675,152,2,3881.14,cluster_3
13678,152,1,9707.6,cluster_3
13680,2,4,19368.73,cluster_1
13681,18,5,5673.52,cluster_1
13682,188,1,163.51999999999998,cluster_3
13684,286,1,456.21,cluster_3
13685,3,8,51381.95,cluster_1
13686,183,1,791.1999999999999,cluster_3
13687,114,1,30.950000000000003,cluster_1
13689,64,2,4322.75,cluster_1
13690,60,1,863.2,cluster_1
13691,134,1,249.9,cluster_1
13692,25,3,14090.79,cluster_1
13694,4,51,646116.78,cluster_2
13695,32,15,18894.39,cluster_0
13697,39,1,1969.32,cluster_1
13699,156,1,992.76,cluster_3
13700,27,10,25683.71,cluster_1
13703,319,1,204.5,cluster_3
13704,6,9,17522.69,cluster_1
13705,8,3,3739.41,cluster_1
13706,303,1,2276.31,cluster_3
13707,268,2,4424.22,cluster_3
13708,272,1,3293.88,cluster_3
13709,4,13,40235.76,cluster_0
13710,32,1,1988.72,cluster_1
13711,219,2,1693.32,cluster_3
13712,247,1,3842.82,cluster_3
13713,213,1,60.31,cluster_3
13714,278,1,1071.76,cluster_3
13715,282,5,6489.389999999999,cluster_3
13716,73,2,5507.2,cluster_1
13717,33,7,26411.5,cluster_1
13718,247,2,2087.28,cluster_3
13719,16,6,14928.81,cluster_1
13720,117,4,5905.77,cluster_1
13721,37,1,3776.05,cluster_1
13722,132,3,16069.5,cluster_1
13723,218,1,645.54,cluster_3
13725,50,9,16475.46,cluster_1
13726,39,2,11849.18,cluster_1
13727,29,2,2002.15,cluster_1
13728,37,6,5735.32,cluster_1
13730,136,2,5713.42,cluster_1
13731,220,2,3474.97,cluster_3
13732,29,1,5607.86,cluster_1
13735,25,5,15504.62,cluster_1
13736,6,2,4368.36,cluster_1
13737,201,1,1629.12,cluster_3
13739,19,1,775.62,cluster_1
13740,241,1,4715.7300000000005,cluster_3
13741,72,3,2919.33,cluster_1
13742,17,12,13785.7,cluster_1
13743,3,8,18820.77,cluster_1
13744,96,2,12925.78,cluster_1
13745,163,1,5391.32,cluster_3
13746,15,2,9072.8,cluster_1
13747,354,2,390.75,cluster_3
13748,96,5,5470.82,cluster_1
13750,54,6,54837.85,cluster_1
13751,289,2,1296.44,cluster_3
13752,125,6,10122.32,cluster_1
13753,288,1,6007.46,cluster_3
13754,4,3,9512.27,cluster_1
13755,4,10,15648.68,cluster_1
13756,3,14,35456.83,cluster_0
13758,12,7,20124.51,cluster_1
13759,34,2,3617.16,cluster_1
13760,55,2,2313.1,cluster_1
13761,51,3,7261.91,cluster_1
13762,219,1,3102.72,cluster_3
13763,64,1,9219.76,cluster_1
13764,71,3,10645.87,cluster_1
13766,205,1,1651.31,cluster_3
13767,3,39,98939.8,cluster_0
13768,19,1,16127.5,cluster_1
13769,3,10,13953.19,cluster_1
13771,65,4,17478.03,cluster_1
13772,34,3,6335.39,cluster_1
13773,290,1,15.02,cluster_3
13774,82,1,2321.35,cluster_1
13775,143,1,11.53,cluster_3
13777,1,34,150785.02,cluster_0
13778,104,3,1711.88,cluster_1
13780,8,4,2926.61,cluster_1
13781,251,1,438.48,cluster_3
13782,13,6,4146.91,cluster_1
13784,10,11,27892.46,cluster_1
13785,102,1,79.01,cluster_1
13786,368,1,1629.9199999999998,cluster_3
13787,76,2,3770.33,cluster_1
13790,5,1,4579.84,cluster_1
13791,128,2,9126.0,cluster_1
13792,67,2,1143.31,cluster_1
13798,2,57,248927.53,cluster_0
13799,117,3,4942.19,cluster_1
13800,310,1,3964.64,cluster_3
13801,67,1,2054.58,cluster_1
13802,139,3,25749.8,cluster_1
13803,256,1,1524.14,cluster_3
13804,31,7,17637.67,cluster_1
13805,53,2,20420.4,cluster_1
13806,64,1,836.74,cluster_1
13807,368,1,484.38,cluster_3
13808,6,5,8921.78,cluster_1
13809,306,1,456.12,cluster_3
13810,29,2,3994.81,cluster_1
13811,184,2,1178.73,cluster_3
13812,43,4,11041.64,cluster_1
13813,40,4,6546.59,cluster_1
13814,93,2,10473.44,cluster_1
13815,23,4,27392.05,cluster_1
13816,24,2,3228.18,cluster_1
13817,30,2,2345.98,cluster_1
13819,302,3,11515.72,cluster_3
13821,145,2,1777.87,cluster_3
13822,6,2,6354.81,cluster_1
13823,19,2,5480.74,cluster_1
13824,33,5,8956.25,cluster_1
13825,353,1,34.87,cluster_3
13826,177,2,3163.12,cluster_3
13827,58,3,1834.41,cluster_1
13828,23,3,3921.11,cluster_1
13831,17,6,9076.69,cluster_1
13832,20,2,17632.22,cluster_1
13833,15,2,7376.38,cluster_1
13835,26,6,10333.31,cluster_1
13837,212,2,2101.35,cluster_3
13838,6,4,2697.59,cluster_1
13839,353,1,26.34,cluster_3
13841,102,2,6867.86,cluster_1
13842,15,10,21479.72,cluster_1
13844,12,1,1213.24,cluster_1
13845,65,1,2185.94,cluster_1
13846,25,3,4863.36,cluster_1
13847,102,1,95.72,cluster_1
13848,93,3,39218.0,cluster_1
13849,52,2,11748.54,cluster_1
13850,130,1,10082.46,cluster_1
13851,96,3,20194.78,cluster_1
13853,58,1,4191.06,cluster_1
13854,9,25,30706.24,cluster_0
13856,169,3,5462.42,cluster_3
13857,205,1,1735.48,cluster_3
13858,58,1,990.23,cluster_1
13859,327,1,1528.3,cluster_3
13860,2,5,5269.3,cluster_1
13862,19,9,18764.93,cluster_1
13863,248,1,2543.92,cluster_3
13864,159,1,5233.44,cluster_3
13865,59,6,8217.03,cluster_1
13866,75,1,733.42,cluster_1
13867,32,3,5791.41,cluster_1
13868,8,2,14315.02,cluster_1
13869,124,5,24202.07,cluster_1
13870,3,8,15732.68,cluster_1
13871,23,15,36406.34,cluster_0
13873,120,3,1834.34,cluster_1
13874,359,1,2398.74,cluster_3
13875,54,5,14111.67,cluster_1
13876,64,1,494.72,cluster_1
13877,87,1,1227.6,cluster_1
13878,55,1,6048.76,cluster_1
13880,22,13,22000.28,cluster_0
13881,4,20,111928.38,cluster_0
13882,3,5,8586.57,cluster_1
13883,11,5,14502.18,cluster_1
13884,8,5,3344.57,cluster_1
13885,190,2,2384.75,cluster_3
13886,72,1,1540.98,cluster_1
13887,205,1,1865.03,cluster_3
13888,120,2,3213.83,cluster_1
13889,93,1,1923.53,cluster_1
13890,2,11,14671.29,cluster_1
13892,27,5,10979.14,cluster_1
13893,298,1,2788.7,cluster_3
13894,24,4,13449.87,cluster_1
13895,29,4,16528.52,cluster_1
13896,242,1,27.36,cluster_3
13897,51,1,2299.56,cluster_1
13898,65,2,8857.76,cluster_1
13899,17,2,1802.62,cluster_1
13900,142,4,5128.45,cluster_1
13901,73,6,20973.73,cluster_1
13904,38,2,3743.58,cluster_1
13906,312,1,6911.11,cluster_3
13908,80,4,17477.29,cluster_1
13911,58,9,30575.78,cluster_1
13914,12,2,3156.39,cluster_1
13916,39,1,186.89,cluster_1
13917,50,2,2615.5,cluster_1
13918,50,2,12929.92,cluster_1
13919,60,2,5195.42,cluster_1
13922,352,1,1129.72,cluster_3
13923,54,2,13041.5,cluster_1
13924,2,6,13751.0,cluster_1
13925,93,4,4087.53,cluster_1
13926,24,1,1295.26,cluster_1
13927,75,1,2303.44,cluster_1
13928,11,5,1683.76,cluster_1
13929,170,2,2329.36,cluster_3
13930,58,2,3153.78,cluster_1
13931,96,2,7835.32,cluster_1
13932,295,1,1052.85,cluster_3
13933,110,2,2725.2,cluster_1
13934,264,1,4942.39,cluster_3
13936,178,2,4184.39,cluster_3
13937,170,1,1423.44,cluster_3
13938,36,1,790.88,cluster_1
13939,24,3,9264.45,cluster_1
13940,13,5,10167.63,cluster_1
13941,22,5,29471.02,cluster_1
13946,80,3,5115.68,cluster_1
13947,27,2,9025.62,cluster_1
13948,361,1,514.6,cluster_3
13949,3,7,30393.34,cluster_1
13950,12,4,3169.86,cluster_1
13951,177,4,5500.99,cluster_3
13952,86,3,27363.08,cluster_1
13953,8,7,29945.4,cluster_1
13954,2,2,1358.69,cluster_1
13955,121,3,35765.21,cluster_1
13956,6,5,5653.57,cluster_1
13957,197,1,421.3,cluster_3
13958,352,1,28030.11,cluster_3
13959,80,3,4247.2,cluster_1
13960,22,2,1691.48,cluster_1
13962,22,2,1065.54,cluster_1
13963,233,5,5350.48,cluster_3
13967,146,1,513.18,cluster_3
13969,8,18,46503.74,cluster_0
13971,19,8,20567.21,cluster_1
13972,71,3,7422.17,cluster_1
13973,288,1,1327.31,cluster_3
13974,50,1,2726.87,cluster_1
13975,32,6,19076.79,cluster_1
13976,207,1,1945.26,cluster_3
13977,267,1,1712.55,cluster_3
13978,15,2,3337.28,cluster_1
13979,74,1,6698.66,cluster_1
13980,61,1,1968.06,cluster_1
13982,40,4,13499.4,cluster_1
13983,30,12,14792.97,cluster_1
13984,27,5,7904.620000000001,cluster_1
13985,5,15,35035.54,cluster_0
13986,18,1,4735.759999999999,cluster_1
13988,20,6,34906.85,cluster_1
13989,66,2,14169.75,cluster_1
13990,214,2,2409.04,cluster_3
13991,13,6,9079.12,cluster_1
13992,31,2,772.66,cluster_1
13993,43,9,12568.54,cluster_1
13994,4,6,11664.44,cluster_1
13995,16,6,8436.83,cluster_1
13999,11,13,24403.9,cluster_0
14000,141,4,14206.01,cluster_1
14001,46,3,9352.28,cluster_1
14002,135,3,9544.43,cluster_1
14004,44,8,28123.01,cluster_1
14005,10,6,23383.99,cluster_1
14006,116,4,6434.95,cluster_1
14009,199,3,4271.24,cluster_3
14012,278,1,1977.24,cluster_3
14013,111,3,4973.74,cluster_1
14014,78,1,11547.22,cluster_1
14015,53,1,4815.06,cluster_1
14016,162,4,26119.9,cluster_3
14018,110,1,55.6,cluster_1
14019,47,3,12087.06,cluster_1
14020,17,2,4074.11,cluster_1
14021,156,3,2615.32,cluster_3
14022,226,1,5442.76,cluster_3
14023,8,2,3072.97,cluster_1
14024,122,2,1625.5,cluster_1
14025,267,1,14.09,cluster_3
14027,61,1,742.96,cluster_1
14029,64,2,2508.62,cluster_1
14030,19,8,17560.23,cluster_1
14031,8,19,74320.62,cluster_0
14032,3,11,22796.67,cluster_1
14034,23,3,4969.719999999999,cluster_1
14035,29,5,8999.03,cluster_1
14036,285,1,3266.67,cluster_3
14037,177,2,610.31,cluster_3
14038,79,3,9013.02,cluster_1
14039,34,2,1834.58,cluster_1
14040,41,12,16328.14,cluster_1
14041,267,1,1108.37,cluster_3
14042,158,1,536.73,cluster_3
14044,27,4,3564.86,cluster_1
14045,110,4,7183.66,cluster_1
14046,285,1,4696.57,cluster_3
14047,9,5,4384.150000000001,cluster_1
14048,306,1,3372.11,cluster_3
14049,17,4,35181.44,cluster_1
14050,32,2,7428.4,cluster_1
14051,1,23,45799.990000000005,cluster_0
14052,20,1,1047.99,cluster_1
14053,125,2,2470.75,cluster_1
14054,66,1,431.7,cluster_1
14055,107,2,2973.58,cluster_1
14056,2,24,48037.28,cluster_0
14057,24,17,53877.3,cluster_0
14059,267,1,1500.04,cluster_3
14060,5,19,60410.58,cluster_0
14062,10,12,58384.630000000005,cluster_0
14064,30,5,19525.09,cluster_1
14066,18,2,1009.27,cluster_1
14067,64,2,4065.6,cluster_1
14068,321,1,1020.65,cluster_3
14070,360,1,286.92,cluster_3
14071,4,8,10490.78,cluster_1
14072,93,1,100.2,cluster_1
14073,33,1,1487.34,cluster_1
14075,5,3,7542.58,cluster_1
14076,130,1,919.71,cluster_1
14077,41,5,3228.79,cluster_1
14078,102,6,4253.02,cluster_1
14079,125,1,3469.39,cluster_1
14080,33,2,1791.61,cluster_1
14081,303,2,7012.3,cluster_3
14082,58,3,7380.01,cluster_1
14083,5,10,7254.12,cluster_1
14084,32,1,48.53,cluster_1
14085,3,19,34351.62,cluster_0
14087,3,1,1693.75,cluster_1
14088,11,13,152390.56,cluster_0
14089,57,1,1526.04,cluster_1
14090,325,1,816.48,cluster_3
14092,8,14,23915.74,cluster_0
14093,13,1,2707.52,cluster_1
14096,5,17,177814.26,cluster_0
14097,51,2,4201.71,cluster_1
14098,37,1,1210.81,cluster_1
14099,17,11,24958.73,cluster_1
14100,138,1,842.4499999999999,cluster_1
14101,74,6,77295.36,cluster_1
14102,6,5,7508.46,cluster_1
14104,155,2,870.83,cluster_3
14105,240,1,9497.01,cluster_3
14107,52,7,20435.76,cluster_1
14108,31,2,4517.87,cluster_1
14109,73,1,1049.7,cluster_1
14110,4,12,27970.59,cluster_0
14111,15,4,3951.41,cluster_1
14112,23,7,16971.41,cluster_1
14113,4,4,8344.48,cluster_1
14114,274,2,1431.34,cluster_3
14115,193,1,4686.71,cluster_3
14116,20,5,8663.42,cluster_1
14117,144,1,830.1599999999999,cluster_3
14119,57,1,8343.07,cluster_1
14121,4,4,18803.6,cluster_1
14124,85,1,17016.46,cluster_1
14125,11,3,17835.65,cluster_1
14126,8,3,3074.67,cluster_1
14127,123,4,3781.58,cluster_1
14128,61,2,6364.96,cluster_1
14129,2,5,6714.0,cluster_1
14130,320,1,3114.67,cluster_3
14132,3,11,35399.63,cluster_1
14133,130,3,4187.44,cluster_1
14135,2,16,43102.87,cluster_0
14137,319,1,164.07999999999998,cluster_3
14138,2,2,5978.09,cluster_1
14139,47,1,5653.62,cluster_1
14140,4,2,7784.54,cluster_1
14141,3,4,4112.4,cluster_1
14142,374,1,3528.16,cluster_3
14143,134,1,426.12,cluster_1
14145,47,4,7905.120000000001,cluster_1
14146,8,6,32013.34,cluster_1
14147,79,2,1602.28,cluster_1
14148,8,2,1020.51,cluster_1
14149,17,2,9331.08,cluster_1
14150,22,3,27122.37,cluster_1
14152,76,2,7862.0,cluster_1
14154,240,2,6144.86,cluster_3
14155,267,1,328.9,cluster_3
14156,10,54,694202.51,cluster_2
14157,20,2,3213.06,cluster_1
14158,41,1,8275.56,cluster_1
14159,20,11,46638.57,cluster_1
14160,285,1,41.0,cluster_3
14161,216,3,5633.21,cluster_3
14162,174,2,1752.01,cluster_3
14163,88,4,11430.58,cluster_1
14164,71,3,11711.54,cluster_1
14165,276,1,666.62,cluster_3
14167,40,4,2083.8,cluster_1
14168,256,1,907.25,cluster_3
14171,99,1,2084.49,cluster_1
14173,11,4,1441.76,cluster_1
14174,34,1,1088.92,cluster_1
14175,60,3,18830.13,cluster_1
14176,43,6,2854.14,cluster_1
14177,87,4,2653.89,cluster_1
14178,9,7,14537.95,cluster_1
14179,41,2,3911.76,cluster_1
14180,11,25,11978.6,cluster_0
14181,247,1,84.64,cluster_3
14184,67,1,1766.0,cluster_1
14185,332,1,264.1,cluster_3
14186,339,1,59.39,cluster_3
14188,31,7,9871.91,cluster_1
14189,3,15,42353.5,cluster_0
14191,2,13,35380.97,cluster_0
14193,68,3,12182.42,cluster_1
14194,5,22,71834.95,cluster_0
14195,120,3,13899.56,cluster_1
14196,107,1,1799.04,cluster_1
14198,19,4,3691.02,cluster_1
14199,219,1,476.96,cluster_3
14200,309,1,1371.41,cluster_3
14201,61,7,6752.7,cluster_1
14202,296,1,1060.34,cluster_3
14203,256,1,78231.14,cluster_3
14204,3,1,445.68,cluster_1
14205,17,3,3479.76,cluster_1
14206,240,2,4505.47,cluster_3
14208,95,1,1323.9,cluster_1
14209,11,7,17423.67,cluster_1
14210,106,6,9314.89,cluster_1
